X,Y,Z,Time hour:minute:second:microsecond
-0.027892427518963814,0.049286894500255585,0.9850226640701294,18:00:08:924406
-0.010367097333073616,0.0369044728577137,0.9796612858772278,18:00:08:957840
-0.012094946578145027,0.02694997750222683,0.9779554605484009,18:00:08:973630
-0.0004936712794005871,0.04176032170653343,0.9911150336265564,18:00:08:985971
0.010910065844655037,0.0441882498562336,0.9877033233642578,18:00:09:002098
-0.016537988558411598,0.043459873646497726,0.9935520887374878,18:00:09:018312
-0.002221520757302642,0.05122923478484154,0.9830730557441711,18:00:09:034718
-0.0024683563970029354,0.035204920917749405,0.9835605025291443,18:00:09:064758
-0.006417726632207632,0.03326258063316345,0.9862411618232727,18:00:09:096579
0.01600143127143383,0.028892317786812782,1.0001319646835327,18:00:09:109401
-0.01826583780348301,0.05122923478484154,0.9518798589706421,18:00:09:122365
-0.01184811070561409,0.03399096056818962,0.9362832903862,18:00:09:138545
-0.019500017166137695,0.01845223642885685,0.9813672304153442,18:00:09:154942
-0.040481045842170715,0.025007635354995728,1.0025688409805298,18:00:09:168513
-0.004936712794005871,0.05584229528903961,0.9608966708183289,18:00:09:198426
-0.012341782450675964,0.03617609292268753,0.9920898675918579,18:00:09:231582
-0.01456330344080925,0.03423375263810158,0.9918461441993713,18:00:09:244370
-0.012588618323206902,0.04127473756670952,0.9928209781646729,18:00:09:260817
-0.015303810127079487,0.04176032170653343,0.9945268034934998,18:00:09:277103
-0.0007405069191008806,0.0441882498562336,0.9969637989997864,18:00:09:293526
-0.03998737409710884,0.06725354492664337,0.9560227394104004,18:00:09:327626
-0.01826583780348301,0.04783013463020325,1.0193839073181152,18:00:09:357484
0.029093509539961815,0.05098643898963928,0.9769806265830994,18:00:09:369749
0.010425174608826637,0.00024279257922898978,0.9945268034934998,18:00:09:381990
-0.010367097333073616,0.05171481892466545,0.9803923964500427,18:00:09:397765
0.011394958011806011,0.05122923478484154,0.9923335909843445,18:00:09:413545
0.01672876812517643,0.05268598720431328,0.9830730557441711,18:00:09:425759
0.0007273377268575132,0.05317157506942749,0.9911150336265564,18:00:09:441527
0.00630359398201108,0.05462832748889923,0.9840478897094727,18:00:09:458059
0.00630359398201108,0.052928779274225235,0.987459659576416,18:00:09:490171
0.00654603959992528,0.052200403064489365,0.988434374332428,18:00:09:502404
0.008243161253631115,0.052928779274225235,0.9872159361839294,18:00:09:518157
0.007515823468565941,0.05389995500445366,0.9886780977249146,18:00:09:533920
0.007273377384990454,0.052928779274225235,0.9896529316902161,18:00:09:546134
0.008243161253631115,0.05341436713933945,0.9877033233642578,18:00:09:565265
0.008000715635716915,0.054385535418987274,0.9891654849052429,18:00:09:607772
0.008000715635716915,0.05341436713933945,0.9886780977249146,18:00:09:620011
0.00630359398201108,0.05511391535401344,0.990384042263031,18:00:09:632231
0.00872805342078209,0.05414274334907532,0.9872159361839294,18:00:09:647987
0.007273377384990454,0.054385535418987274,0.9891654849052429,18:00:09:665535
0.008243161253631115,0.05462832748889923,0.9879470467567444,18:00:09:698732
0.009212944656610489,0.05414274334907532,0.9896529316902161,18:00:09:714506
0.010182728059589863,0.054385535418987274,0.9896529316902161,18:00:09:726721
0.007758269552141428,0.05341436713933945,0.987459659576416,18:00:09:742480
0.007515823468565941,0.053657159209251404,0.9889218211174011,18:00:09:758235
0.008000715635716915,0.05341436713933945,0.9889218211174011,18:00:09:773723
0.007030931767076254,0.054385535418987274,0.9894092082977295,18:00:09:800162
0.008970499038696289,0.05487111955881119,0.9898965954780579,18:00:09:812397
0.007758269552141428,0.05317157506942749,0.9891654849052429,18:00:09:828155
0.008000715635716915,0.05389995500445366,0.9886780977249146,18:00:09:843912
0.008243161253631115,0.05341436713933945,0.988434374332428,18:00:09:856119
0.007515823468565941,0.05341436713933945,0.9891654849052429,18:00:09:873987
0.008485606871545315,0.05268598720431328,0.9886780977249146,18:00:09:907231
0.00654603959992528,0.05414274334907532,0.9889218211174011,18:00:09:923002
0.008970499038696289,0.05389995500445366,0.987459659576416,18:00:09:938760
0.008243161253631115,0.054385535418987274,0.9879470467567444,18:00:09:950983
0.007758269552141428,0.05414274334907532,0.9886780977249146,18:00:09:966734
0.008485606871545315,0.05389995500445366,0.9906277060508728,18:00:09:985931
0.00872805342078209,0.05389995500445366,0.9894092082977295,18:00:10:027806
0.00872805342078209,0.05414274334907532,0.9886780977249146,18:00:10:043635
0.008970499038696289,0.05584229528903961,0.9879470467567444,18:00:10:059429
0.008970499038696289,0.05462832748889923,0.9867285490036011,18:00:10:071668
0.009455390274524689,0.05317157506942749,0.9889218211174011,18:00:10:087965
0.008485606871545315,0.05584229528903961,0.9898965954780579,18:00:10:120359
0.008485606871545315,0.053657159209251404,0.9891654849052429,18:00:10:139701
0.00630359398201108,0.05268598720431328,0.9891654849052429,18:00:10:155407
0.008485606871545315,0.05462832748889923,0.9891654849052429,18:00:10:171246
0.007515823468565941,0.05389995500445366,0.9872159361839294,18:00:10:183088
0.010425174608826637,0.054385535418987274,0.9886780977249146,18:00:10:198285
0.009697836823761463,0.05681345984339714,0.9847790002822876,18:00:10:229761
0.01260718796402216,0.057056255638599396,0.987459659576416,18:00:10:241491
0.009697836823761463,0.05632787570357323,0.9859974384307861,18:00:10:256667
0.00024244592350441962,0.05050085484981537,0.9894092082977295,18:00:10:268328
0.0041215806268155575,0.05268598720431328,0.987459659576416,18:00:10:283918
