X,Y,Z,Time hour:minute:second:microsecond
0.01769855059683323,0.0939607247710228,0.9937956929206848,18:35:30:263560
0.04509493708610535,0.165584534406662,0.9740563035011292,18:35:30:302912
0.009455390274524689,-0.041973307728767395,0.8880313038825989,18:35:30:318855
-0.09651274234056473,-0.11168759316205978,0.9828293919563293,18:35:30:334737
0.053095657378435135,0.15344491600990295,0.921417772769928,18:35:30:350619
-0.007158233784139156,0.10755711048841476,0.9667453765869141,18:35:30:363085
0.027881281450390816,0.12163908034563065,0.9362832903862,18:35:30:395336
0.039276234805583954,0.11411251127719879,0.9952579140663147,18:35:30:411249
0.019880564883351326,0.09274676442146301,0.9694260358810425,18:35:30:430674
0.01648632250726223,0.09663144499063492,0.9928209781646729,18:35:30:446546
0.011637403629720211,0.08352064341306686,0.9818546175956726,18:35:30:462397
0.011152512393891811,0.09201838076114655,0.990384042263031,18:35:30:475613
0.009455390274524689,0.08594857156276703,0.9918461441993713,18:35:30:505445
0.010182728059589863,0.08691974729299545,0.988434374332428,18:35:30:535336
0.010667620226740837,0.08740532398223877,0.990384042263031,18:35:30:551149
0.009455390274524689,0.08400622755289078,0.9879470467567444,18:35:30:566942
0.00872805342078209,0.08522019535303116,0.9896529316902161,18:35:30:582734
0.009455390274524689,0.08691974729299545,0.9901403188705444,18:35:30:594973
0.012364741414785385,0.0883764997124672,0.988434374332428,18:35:30:610970
0.01260718796402216,0.08764811605215073,0.9859974384307861,18:35:30:644335
0.01260718796402216,0.08959046006202698,0.9855100512504578,18:35:30:660134
0.01260718796402216,0.08716253191232681,0.987459659576416,18:35:30:672383
0.012364741414785385,0.08740532398223877,0.9869722723960876,18:35:30:688166
0.011152512393891811,0.08764811605215073,0.9881907105445862,18:35:30:703949
0.010667620226740837,0.08740532398223877,0.9879470467567444,18:35:30:716219
0.008970499038696289,0.08522019535303116,0.9916024804115295,18:35:30:762873
0.008485606871545315,0.0866769552230835,0.9911150336265564,18:35:30:792685
0.011152512393891811,0.0866769552230835,0.9898965954780579,18:35:30:808483
0.009455390274524689,0.08716253191232681,0.9891654849052429,18:35:30:824267
0.009940282441675663,0.08740532398223877,0.9862411618232727,18:35:30:836573
0.011637403629720211,0.08910487592220306,0.9857537150382996,18:35:30:852357
0.010910065844655037,0.08643415570259094,0.9864848256111145,18:35:30:868178
0.012364741414785385,0.08813370019197464,0.9872159361839294,18:35:30:912826
0.01260718796402216,0.08716253191232681,0.9867285490036011,18:35:30:945251
0.01284963358193636,0.08789090812206268,0.9872159361839294,18:35:30:957502
0.010425174608826637,0.08643415570259094,0.990384042263031,18:35:30:973296
0.010182728059589863,0.08691974729299545,0.9906277060508728,18:35:30:989091
0.009697836823761463,0.08789090812206268,0.9911150336265564,18:35:31:004925
0.010425174608826637,0.08691974729299545,0.9901403188705444,18:35:31:017212
0.010910065844655037,0.08619136363267899,0.9925772547721863,18:35:31:062981
0.009940282441675663,0.08886208385229111,0.9881907105445862,18:35:31:094186
0.011879850178956985,0.08813370019197464,0.9889218211174011,18:35:31:110471
0.011394958011806011,0.08740532398223877,0.9864848256111145,18:35:31:126890
0.010910065844655037,0.08886208385229111,0.9869722723960876,18:35:31:143301
0.011394958011806011,0.08789090812206268,0.9869722723960876,18:35:31:156027
0.01260718796402216,0.08910487592220306,0.9859974384307861,18:35:31:172684
0.01260718796402216,0.08740532398223877,0.9881907105445862,18:35:31:206615
0.011152512393891811,0.08789090812206268,0.9891654849052429,18:35:31:222983
0.010667620226740837,0.0866769552230835,0.9906277060508728,18:35:31:239338
0.009940282441675663,0.08619136363267899,0.9901403188705444,18:35:31:255759
0.011152512393891811,0.08619136363267899,0.9916024804115295,18:35:31:268468
0.009940282441675663,0.08619136363267899,0.9906277060508728,18:35:31:281582
0.008970499038696289,0.0866769552230835,0.991358757019043,18:35:31:311599
0.011637403629720211,0.08789090812206268,0.9894092082977295,18:35:31:342637
0.010910065844655037,0.08789090812206268,0.9886780977249146,18:35:31:355474
0.010910065844655037,0.08740532398223877,0.9898965954780579,18:35:31:368295
0.012122295796871185,0.08619136363267899,0.987459659576416,18:35:31:384638
0.011152512393891811,0.08934766799211502,0.9862411618232727,18:35:31:397346
0.01260718796402216,0.0883764997124672,0.9877033233642578,18:35:31:413825
0.011152512393891811,0.08764811605215073,0.9918461441993713,18:35:31:464855
0.010910065844655037,0.08619136363267899,0.9930647015571594,18:35:31:481190
0.010182728059589863,0.08546298742294312,0.991358757019043,18:35:31:497115
0.009697836823761463,0.08643415570259094,0.9916024804115295,18:35:31:516463
0.010910065844655037,0.08619136363267899,0.9898965954780579,18:35:31:549819
0.011394958011806011,0.08619136363267899,0.991358757019043,18:35:31:565656
0.011394958011806011,0.08740532398223877,0.9911150336265564,18:35:31:577876
0.012122295796871185,0.08861929178237915,0.9881907105445862,18:35:31:593639
0.01309207919985056,0.08740532398223877,0.9881907105445862,18:35:31:609416
0.011879850178956985,0.08861929178237915,0.9877033233642578,18:35:31:625219
0.011152512393891811,0.08740532398223877,0.9879470467567444,18:35:31:655036
0.01309207919985056,0.08716253191232681,0.9886780977249146,18:35:31:685276
0.010182728059589863,0.08813370019197464,0.990384042263031,18:35:31:697505
0.011637403629720211,0.08643415570259094,0.9918461441993713,18:35:31:713272
0.010910065844655037,0.08716253191232681,0.991358757019043,18:35:31:729044
0.011637403629720211,0.08546298742294312,0.9894092082977295,18:35:31:741259
0.008970499038696289,0.08546298742294312,0.9916024804115295,18:35:31:757309
0.008485606871545315,0.0866769552230835,0.9911150336265564,18:35:31:802814
0.009697836823761463,0.08643415570259094,0.9906277060508728,18:35:31:815046
0.011394958011806011,0.08691974729299545,0.9930647015571594,18:35:31:827270
0.010425174608826637,0.08643415570259094,0.9906277060508728,18:35:31:843031
0.011637403629720211,0.0883764997124672,0.990384042263031,18:35:31:858799
0.010667620226740837,0.0883764997124672,0.9886780977249146,18:35:31:878112
0.01284963358193636,0.08959046006202698,0.9842915534973145,18:35:31:893876
0.013334525749087334,0.08764811605215073,0.9857537150382996,18:35:31:909785
0.012364741414785385,0.08691974729299545,0.987459659576416,18:35:31:939582
0.011879850178956985,0.0883764997124672,0.988434374332428,18:35:31:955356
0.010667620226740837,0.08619136363267899,0.9901403188705444,18:35:31:971143
0.011152512393891811,0.08691974729299545,0.9898965954780579,18:35:31:986914
0.010182728059589863,0.08789090812206268,0.991358757019043,18:35:31:999150
0.008485606871545315,0.08570577949285507,0.991358757019043,18:35:32:015119
